Survey_ID,Employee_ID,Training_Topic,Priority
SUR_2025_Q4,EMP-001,Advanced system design and architecture,High
SUR_2025_Q4,EMP-007,CI/CD and DevOps fundamentals,Medium
SUR_2025_Q4,EMP-010,Microservices and container orchestration,High
SUR_2025_Q4,EMP-013,Machine Learning fundamentals - online course,Medium
SUR_2025_Q4,EMP-016,Advanced ReactJS and state management,Medium
SUR_2025_Q4,EMP-018,Backend development with NodeJS - internal,High
SUR_2025_Q4,EMP-021,Spring Boot advanced topics - internal,High
SUR_2025_Q4,EMP-024,Go language development - internal,High
SUR_2025_Q4,EMP-028,Cloud deployment on AWS - online,Medium
SUR_2025_Q4,EMP-031,AI and Cloud fundamentals,High
SUR_2025_Q4,EMP-036,Kubernetes and container orchestration,High
SUR_2025_Q4,EMP-037,CKA certification prep - online,Medium
SUR_2025_Q4,EMP-041,LLM application development,High
SUR_2025_Q4,EMP-044,MLOps practices and tooling,High
SUR_2025_Q4,EMP-047,Java performance tuning - internal,Medium
SUR_2025_Q4,EMP-048,AWS solutions architect - online,High
SUR_2025_Q4,EMP-060,Team leadership and strategic planning,High
SUR_2025_Q4,EMP-061,ML integration with data pipelines,Medium
SUR_2025_Q4,EMP-062,Model deployment and MLOps,High
SUR_2025_Q4,EMP-066,Azure DevOps - online course,Medium
SUR_2025_Q4,EMP-076,AI and ML foundations - online,High
SUR_2025_Q4,EMP-077,Data engineering pipelines - internal,Medium
SUR_2025_Q4,EMP-081,AWS data services - online,High
SUR_2025_Q4,EMP-086,DevOps foundations - internal,High
SUR_2025_Q4,EMP-089,Advanced Playwright and AI testing,High
SUR_2025_Q4,EMP-090,DevOps and cloud - internal,Medium
SUR_2025_Q4,EMP-092,Cloud certification prep - online,High
SUR_2025_Q4,EMP-093,Leadership and team management,Medium
SUR_2025_Q4,EMP-094,System design and architecture,Medium
SUR_2025_Q4,EMP-098,AI agents and LLM workflows - internal,High
SUR_2025_Q4,EMP-103,Frontend performance and testing - internal,Medium
SUR_2025_Q4,EMP-106,Technology strategy and roadmap planning,Medium
SUR_2025_Q4,EMP-117,Security and threat detection - online,High
SUR_2025_Q4,EMP-119,Advanced ML and deep learning - online,High
SUR_2025_Q4,EMP-124,Product and project management skills,Medium
SUR_2025_Q4,EMP-127,LLM fine-tuning and GenAI - online,High
SUR_2025_Q4,EMP-131,Advanced PM and stakeholder management,High
SUR_2025_Q4,EMP-135,Technical leadership and architecture review,High
SUR_2025_Q4,EMP-137,AI adoption strategy and roadmap,High
SUR_2025_Q4,EMP-159,AI-assisted project management tools,Medium
SUR_2026_Q1,EMP-001,Leadership skills,High
SUR_2026_Q1,EMP-002,"Soft skills, online learning",Low
SUR_2026_Q1,EMP-003,Japanese language - self-learning,Medium
SUR_2026_Q1,EMP-005,Build personal agent to enhance workflow,Medium
SUR_2026_Q1,EMP-007,Interview skills,High
SUR_2026_Q1,EMP-008,AI-related skills,Low
SUR_2026_Q1,EMP-009,Self-learning external courses,Low
SUR_2026_Q1,EMP-010,DevOps,Medium
SUR_2026_Q1,EMP-011,Planning skills,Medium
SUR_2026_Q1,EMP-012,Automation Testing,Low
SUR_2026_Q1,EMP-013,"AI Agent, MLOps, Security - internal training",Low
SUR_2026_Q1,EMP-014,Python development - internal training,Medium
