plan_id,member_id
p001,u001
p001,u002
p001,u003
p001,u004
p001,u005
p001,u007
p001,u009
p001,u011
p001,u015
p003,u010
p004,u004
p004,u012
p005,u013
p005,u014
p002,u207
p002,u284
p002,u300
p002,u286
p002,u066
p002,u281
p002,u294
p002,u287
p002,u145
p002,u212
p002,u299
p002,u224
p002,u243
p002,u259
p002,u199
p002,u184
p002,u035
p002,u193
p002,u241
p002,u116
p002,u082
p002,u291
p002,u220
p002,u118
p002,u278
p002,u075
p002,u214
p002,u222
p002,u144
p002,u237
p002,u185
p002,u262
p002,u233
p002,u087
p002,u157
p002,u154
p002,u114
p002,u161
p002,u244
p002,u109
p002,u196
p007,u018
p007,u228
p007,u197
p007,u250
p007,u086
p007,u119
p007,u246
p007,u209
p007,u030
p007,u151
p007,u154
p007,u106
p007,u172
p007,u243
p007,u248
p007,u014
p007,u087
p007,u068
p007,u137
p007,u059
p007,u263
p007,u254
p007,u156
p007,u204
p007,u029
p007,u020
p007,u060
p007,u259
p007,u153
p007,u190
p007,u252
p007,u253
p007,u220
p007,u251
p007,u208
p007,u101
p007,u126
p007,u146
p007,u116
p007,u205
p007,u042
p007,u035
p007,u098
p007,u011
p007,u075
p007,u102
p008,u301
p008,u039
p008,u052
p008,u254
p008,u021
p008,u119
p008,u063
p008,u192
p008,u237
p008,u135
p008,u158
p008,u273
p008,u169
p008,u284
p008,u208
p008,u081
p008,u269
p008,u173
p008,u066
p008,u034
p008,u149
p008,u002
p008,u008
p008,u281
p008,u296
p008,u183
p008,u101
p008,u042
p008,u255
p008,u107
p008,u171
p008,u262
p008,u032
p008,u236
p008,u278
p008,u117
p008,u231
p008,u090
p008,u293
p008,u258
p008,u219
p008,u213
p008,u131
p008,u264
p008,u133
p008,u097
p008,u191
p008,u167
p008,u194
p008,u190
p009,u291
p009,u222
p009,u065
p009,u030
p009,u120
p009,u245
p009,u106
p009,u111
p009,u110
p009,u026
p009,u090
p009,u108
p009,u064
p009,u297
p009,u118
p009,u093
p009,u281
p009,u121
p009,u103
p009,u206
p009,u046
p009,u182
p009,u254
p009,u157
p009,u207
p009,u184
p009,u168
p009,u285
p009,u071
p009,u052
p009,u091
p009,u251
p009,u165
p009,u260
p009,u174
p009,u117
p009,u133
p009,u082
p009,u139
p009,u061
p009,u045
p009,u284
p009,u200
p009,u114
p010,u195
p010,u264
p010,u210
p010,u149
p010,u094
p010,u247
p010,u128
p010,u002
p010,u132
