Employee_ID,Position,Skill,Proficiency_Level,Skill_Gap
EMP-001,Software Developer,C#; Python; ReactJS; Angular; SQL,Advanced,"Cloud, Automation; Version Control (Git), Containerization"
EMP-002,.NET Developer,C#; Angular; React; Python,Intermediate,"Data Analysis; Version Control (Git), Containerization"
EMP-003,QA Engineer,Selenium; Java; SQL,Intermediate,"Automation Testing, API Testing, Performance Testing, System Architecture"
EMP-004,Project Manager,Java; Spring Boot; Kotlin; Docker; AWS,Intermediate,"Agile/Scrum, Strategic Planning, AI Tools & Copilot Usage, Technical Leadership"
EMP-005,Data Scientist,Python; C/C++,Intermediate,"ETL/Data Pipeline, Data Visualization, ML Integration"
EMP-006,QA Engineer,JavaScript; SQL; HTML; CSS; Python; Java,Intermediate,"Automation Testing, API Testing"
EMP-007,Software Developer,JavaScript; ReactJS; NodeJS; NestJS; NextJS,Advanced,"Automation Testing, UI/UX; Version Control (Git), Containerization"
EMP-008,Software Developer,Java; Spring Boot; MySQL; Oracle; Redis; Kafka,Intermediate,"Version Control (Git), Containerization"
EMP-009,Accountant,Office tools; Accounting software,Advanced,AI Tools & Copilot Usage
EMP-010,Software Developer,Java; Spring Boot,Intermediate,"Cloud Services, System Architecture"
EMP-011,Software Developer,JavaScript; TypeScript; ReactJS; NodeJS,Beginner,"Cloud Services, Technical Depth"
EMP-012,QA Engineer,Postman; BigQuery; Jira,Beginner,"Version Control (Git), Containerization, Cloud Services"
EMP-013,Java Developer,Java; Python; JavaScript; SpringBoot; MySQL,Intermediate,"Deep Learning, Reinforcement Learning; Version Control (Git)"
EMP-014,Software Developer,Java; C#; JavaScript; NestJS; .NET; ReactJS,Beginner,"Cloud Services, Technical Depth"
EMP-015,Data Scientist,Python,Beginner,"ETL/Data Pipeline, Data Visualization, ML Integration"
EMP-016,Frontend Developer,JavaScript; TypeScript; Python; ReactJS; NextJS; K8s; GCloud,Intermediate,"Automation Testing, UI/UX; System Design"
EMP-017,QA Engineer,Postman; MySQL; BigQuery; Cucumber; Java,Beginner,"Automation Testing, Performance Testing, Security Testing"
EMP-018,Frontend Developer,ReactJS; NestJS; NextJS; MySQL; MongoDB; Firebase; AWS,Intermediate,"UI/UX Design, Figma; Version Control (Git)"
EMP-019,Technical Lead,ReactJS; NodeJS; PostgreSQL,Intermediate,"Agile/Scrum, Strategic Planning, AI Tools & Copilot Usage"
EMP-020,QA Engineer,PHP; Laravel; SQL; VueJS; ReactJS,Beginner,"Automation Testing, API Testing"
EMP-021,Software Developer,Java; Spring Boot; MySQL,Beginner,"Cloud Services, Technical Depth"
EMP-022,AI Engineer,Python; pySpark; MySQL; PyTorch,Beginner,"MLOps, LLM/GenAI, Model Deployment"
EMP-023,Python Developer,Python; Azure,Advanced,"Containerization, Testing, AI Tools & Copilot Usage"
EMP-024,Software Developer,Python; NodeJS; Golang; Java; ReactJS; PostgreSQL; AWS,Advanced,DevOps; Version Control (Git)
EMP-025,QA Engineer,Playwright; JavaScript,Beginner,"Manual QA, SQL Testing, API Testing; Performance Testing"
EMP-026,Software Developer,NodeJS; Python; ReactJS; FastAPI; MySQL; MongoDB; PostgreSQL; Redis,Intermediate,DevOps; Containerization
EMP-027,QA Engineer,Selenium; Java; TestNG,Advanced,"Automation Testing, API Testing, Performance Testing, AI Tools"
EMP-028,Software Developer,ReactJS; PostgreSQL; NodeJS; Docker,Advanced,"DevOps, Automation Testing, UI/UX; Cloud Services"
