task_id,plan_id,bucket_id,assignee_ids,title,description,status,priority,due_date,tags,checklist,comments,attachments
t001,p001,b001,,Review AWS infrastructure architecture and resource allocation,Walk through the current AWS spend report and propose three architectural changes that reduce monthly cost without hurting reliability.,todo,1,2026-06-02,"infrastructure,aws,cost,review",[],[],[]
t002,p001,b001,u003,Audit Kubernetes cluster security and RBAC policies,"Inventory cluster roles, identify over-privileged service accounts, and write up findings against CIS benchmarks.",todo,3,2026-06-15,"infrastructure,kubernetes,security,review",[],[],[]
t003,p001,b001,,Plan Q3 capacity model,Model expected traffic for Q3 and draft a capacity proposal covering Kubernetes nodes and database read replicas.,todo,5,,"infrastructure,planning",[],[],[]
t004,p001,b004,u002,Migrate Terraform modules to v1.7,"Bump providers, fix deprecations, and re-plan all environments.",done,5,2026-04-30,"infrastructure,terraform",[],[],[]
t005,p001,b002,u003,Set up monitoring dashboards for production services,Bring up Grafana dashboards for the top five production services with SLO-aligned panels.,in progress,3,2026-05-30,"infrastructure,monitoring",[],[],[]
t006,p002,b003,,Refactor design system tokens,Move the design tokens into the new shared package and migrate the shell to consume them.,todo,5,2026-06-10,"frontend,design-system",[],[],[]
t007,p001,b001,,Update operational runbook,Document the steps to rotate IAM credentials and refresh Kubernetes secrets across the AWS production cluster.,todo,3,2026-06-05,"documentation,operations",[],[],[]
t008,p001,b001,,Audit CDN cache configuration for SPA deploys,"Review CloudFront caching rules for the SPA bundle, identify mis-tagged assets, and align with the React build output.",todo,5,2026-06-08,"infrastructure,frontend,review",[],[],[]
t009,p001,b001,,Patch CVE in nginx ingress,High-severity CVE published last week — patch and redeploy ingress controllers across all clusters.,todo,1,2026-05-10,"infrastructure,security",[],[],[]
t010,p003,b005,,Bootstrap Terraform state backend,Stand up S3 + DynamoDB state backend for the new Terraform workspaces.,todo,3,2026-06-12,"infrastructure,terraform",[],[],[]
t011,p001,b001,,Rotate root credentials immediately,Suspected exposure — rotate root credentials across the AWS organization today.,todo,1,2026-05-20,"infrastructure,security,urgent",[],[],[]
t012,p001,b001,"u001,u002,u003,u004,u005",Quarterly infra retro,Run the quarterly retro session with the infrastructure crew and capture action items.,todo,5,2026-06-30,"infrastructure,review",[],[],[]
t013,p001,b001,,Upgrade Kubernetes control plane,Plan and execute a minor-version upgrade of all production Kubernetes control planes.,todo,3,2026-06-08,"infrastructure,kubernetes",[],[],[]
t014,p001,b001,,Modernize legacy mainframe COBOL batch jobs,"Identify which legacy mainframe COBOL batch jobs can be retired or rewritten, and produce a phased migration plan.",todo,5,2026-07-01,"infrastructure,legacy",[],[],[]
t015,p001,b001,,,Check AWS production cluster cost report and identify optimization candidates.,todo,5,2026-06-20,,[],[],[]
t016,p001,b001,,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Long-running investigation tracked across several oncall rotations.,todo,5,2026-07-15,"infrastructure,reliability",[],[],[]
t017,p001,b001,,Setup k8s monitoring stack,Stand up Prometheus + Grafana + Loki across the new Kubernetes clusters.,todo,3,2026-06-18,"kubernetes,monitoring",[],[],[]
t018,p005,b009,,Set up Spark cluster for ML pipelines,Provision Spark for the ML team's NLP pipelines; coordinate with u014 on cluster sizing.,todo,3,2026-06-30,"ai,spark,ml,nlp",[],[],[]
t019,p006,b011,,Define DevOps roadmap,"Draft a 12-month DevOps roadmap covering CI, observability, and IaC.",todo,5,2026-06-25,,[],[],[]
t020,p004,b007,,Reduce build flakiness,Reduce CI build flakiness in the backend repos; root-cause the intermittent test failures.,todo,5,2026-06-22,,[],[],[]
t021,p017,b060,"u116,u031,u228",Audit API gateway security and policies,Document the steps to run Security integration in the new environment.,todo,5,2026-06-05,"infrastructure,security,aws",[],[],[]
t022,p047,b177,"u218,u206",Audit Kubernetes cluster security and policies,Document the steps to run Kubernetes integration in the new environment.,todo,9,2026-06-18,"infrastructure,review",[],[],[]
t023,p008,b023,,Patch CVE in auth gateway,Investigate why Linux usage spiked last week and produce a write-up.,todo,5,2026-07-16,"infrastructure,monitoring,infrastructure",[],[],[]
t024,p003,b015,u010,Set up Spark cluster for ML team,Provision AWS resources for the upcoming launch and verify capacity.,todo,1,2026-06-17,"infrastructure,aws,monitoring",[],[],[]
